Alpha,Beta,Max hops,Node number,Edge number,Density,Coverage,Avg. degree,Runtime
0.25,0.0075,3,0.38333333333333336,0.7020759304282775,0.005064191,0.6363636479999997,1.0,0.2503952945850627
0.25,0.0075,4,0.42083333333333334,0.7192818402842716,0.004986455,0.9090909119999999,0.9808067652682111,0.36429707473126804
0.25,0.01,2,0.00625,0.0037404151860856555,0.004530317,0.1818181919999997,0.008140655115923587,0.033388488991274536
0.25,0.01,3,0.31666666666666665,0.6222180662053488,0.005096363,0.45454545599999996,0.932539496679635,0.2279348897076092
0.25,0.01,4,0.35833333333333334,0.6444735365625585,0.005015333,0.6363636479999997,0.9181256533211439,0.2997447045925357
0.5,0.0025,2,0.15416666666666667,0.14363194314568917,0.004451807,0.1818181919999997,0.13223815552261273,0.04641901076043747
0.5,0.0025,3,0.86875,0.9545539554890593,0.004254735,1.0,0.8341098396477644,0.5596834368744101
0.5,0.0025,4,0.7708333333333334,0.8941462502337759,0.004380827,1.0,0.846723254479945,0.7564372352588937
0.5,0.005,2,0.15,0.1421357770712549,0.004460273,0.1818181919999997,0.1342829972463267,0.0434695451977126
0.5,0.005,3,0.6375,0.8593603890031793,0.004653851,0.9090909119999999,0.9549554847622866,0.42890085881396267
0.5,0.005,4,0.61875,0.8255096315691042,0.004639741,0.9090909119999999,0.9156838744101514,0.592590846542461
0.5,0.0075,2,0.1625,0.1724331400785487,0.00449957,0.09090910399999963,0.18468142246157765,0.045450064621738395
0.5,0.0075,3,0.5479166666666667,0.7997007667851131,0.004782435,0.8181818239999998,0.96186094643387,0.375284201918328
0.5,0.0075,4,0.5583333333333333,0.7875444174303348,0.004729689,0.9090909119999999,0.9240373589892168,0.5138010287857302
0.5,0.01,2,0.09791666666666667,0.10959416495230971,0.004532505,0.09090910399999963,0.12936352677256938,0.04210136509874627
0.5,0.01,3,0.5,0.7735178604825136,0.004865784,0.8181818239999998,0.9769967161208969,0.30722109643870354
0.5,0.01,4,0.5104166666666666,0.7551898260706938,0.004798998,0.9090909119999999,0.9264633879451425,0.43123916674738805
0.9,0.0025,2,0.17083333333333334,0.1400785487189078,0.004394489,0.2727272799999998,0.10328515173300451,0.12562241569252666
0.9,0.0025,3,0.9229166666666667,0.9364129418365439,0.00410539,1.0,0.7370649751867554,0.8185334759561692
0.9,0.0025,4,1.0,1.0,0.004041891,1.0,0.7571831642745848,1.0
0.9,0.005,2,0.15416666666666667,0.14363194314568917,0.004451807,0.1818181919999997,0.13223815552261273,0.04079860075368346
0.9,0.005,3,0.8416666666666667,0.9466990835982794,0.004303702,1.0,0.8533851022770679,0.5376287874761568
0.9,0.005,4,0.7479166666666667,0.8892837104918646,0.004427749,1.0,0.8668103627782862,0.7497526900326182
0.9,0.0075,2,0.15416666666666667,0.14363194314568917,0.004451807,0.1818181919999997,0.13223815552261273,0.041494160693952134
0.9,0.0075,3,0.69375,0.886852440620909,0.004558488,0.9090909119999999,0.9322089452086846,0.43837269028628395
0.9,0.0075,4,0.6291666666666667,0.8331774827005798,0.004626687,0.9090909119999999,0.9164034237258909,0.6110909043694656
0.9,0.01,2,0.17083333333333334,0.1724331400785487,0.004475041,0.1818181919999997,0.17394181819307455,0.0502785859601207
0.9,0.01,3,0.6104166666666667,0.8342996072564055,0.00467863,0.9090909119999999,0.9435963543197906,0.4162645962694855
0.9,0.01,4,0.6104166666666667,0.8109220123433701,0.004634156,0.9090909119999999,0.8989672714646418,0.5873116052167418
